tip,date,distance,residual
DW121_2021.38,2021,4.91E-04,-8.33E-06
DW332_2021.97,2021,4.93E-04,-7.54E-06
DW420_2021.89,2021,4.93E-04,-7.42E-06
DW344_2021.45,2021,4.98E-04,-1.70E-06
DW336_2022.44,2022,5.05E-04,3.70E-06
DW458_2020.79,2020,4.96E-04,-2.58E-06
DW278_2020.31,2020,4.82E-04,-1.55E-05
DW283_2020.42,2020,4.83E-04,-1.50E-05
DW430_2020.33,2020,4.83E-04,-1.49E-05
DW320_2020.9,2020,4.86E-04,-1.25E-05
DW321_2020.92,2020,4.83E-04,-1.58E-05
DW326_2021,2021,4.83E-04,-1.59E-05
DW361_2021.08,2021,4.83E-04,-1.62E-05
DW287_2020.45,2020,4.81E-04,-1.68E-05
DW311_2020.68,2020,4.88E-04,-1.05E-05
DW047_2021.25,2021,5.31E-04,3.14E-05
DW360_2021.03,2021,5.24E-04,2.47E-05
DW385_2020.47,2020,5.22E-04,2.41E-05
DW439_2020.5,2020,5.22E-04,2.41E-05
DW483_2015.21,2015,5.06E-04,1.64E-05
DW434_2020.5,2020,5.09E-04,1.12E-05
DW442_2020.48,2020,5.16E-04,1.83E-05
DW123_2021.38,2021,5.03E-04,3.25E-06
DW131_2021.39,2021,5.03E-04,3.24E-06
DW381_2020.32,2020,4.96E-04,-1.74E-06
DW386_2020.45,2020,4.97E-04,-6.35E-07
DW055_2021.26,2021,4.74E-04,-2.52E-05
DW312_2020.7,2020,4.71E-04,-2.76E-05
DW266_2018.1,2018,4.69E-04,-2.54E-05
DW085_2021.31,2021,5.08E-04,9.19E-06
DW388_2020.43,2020,5.03E-04,5.36E-06
DW377_2020.12,2020,5.14E-04,1.65E-05
DW077_2021.29,2021,5.15E-04,1.55E-05
DW088_2021.32,2021,4.94E-04,-5.61E-06
DW371_2022.14,2022,5.19E-04,1.80E-05
DW435_2020.46,2020,4.97E-04,-5.38E-07
DW124_2021.38,2021,5.19E-04,1.96E-05
M6303_2003,2003,4.79E-04,7.72E-06
DW419_2022.22,2022,5.29E-04,2.84E-05
M30_1980,1980,4.33E-04,-2.05E-06
M6090_1994,1994,4.63E-04,6.23E-06
M6151_1994,1994,4.63E-04,6.23E-06
M6312_1994,1994,4.61E-04,4.20E-06
DW290_2020.48,2020,4.51E-04,-4.73E-05
M2300_1991,1991,4.49E-04,-3.51E-06
M6327_2005,2005,4.65E-04,-9.49E-06
R32G_1974,1974,4.09E-04,-1.71E-05
TW10-6G_1974,1974,4.09E-04,-1.71E-05
TW48-5G_1974,1974,4.09E-04,-1.71E-05
UTMB-10G_1986,1986,4.09E-04,-3.56E-05
TW10-5G_1974,1974,4.09E-04,-1.71E-05
DW303_2020.65,2020,5.19E-04,2.12E-05
M2282_1991,1991,4.65E-04,1.26E-05
M6328_1998,1998,4.86E-04,2.28E-05
M6284_2003,2003,4.63E-04,-8.14E-06
M6270_2004,2004,4.87E-04,1.44E-05
