FILE	missing	percentage
DW436	980	0.5568181818181819
DW433	1010	0.5738636363636364
DW435	1013	0.5755681818181818
DW429	1013	0.5755681818181818
DW438	1014	0.5761363636363637
DW402	1014	0.5761363636363637
DW398	1015	0.5767045454545454
DW387	1015	0.5767045454545454
DW444	1019	0.5789772727272727
DW129	1019	0.5789772727272727
DW392	1021	0.5801136363636363
DW381	1022	0.5806818181818182
DW391	1023	0.58125
DW155	1023	0.58125
DW389	1024	0.5818181818181818
DW390	1025	0.5823863636363636
DW368	1025	0.5823863636363636
DW443	1026	0.5829545454545455
DW456	1028	0.5840909090909091
DW384	1029	0.584659090909091
DW371	1030	0.5852272727272727
DW148	1031	0.5857954545454546
DW415	1032	0.5863636363636364
DW382	1033	0.5869318181818182
DW077	1033	0.5869318181818182
DW383	1034	0.5875
DW373	1035	0.5880681818181819
DW458	1036	0.5886363636363636
DW041	1036	0.5886363636363636
DW388	1036	0.5886363636363636
DW448	1036	0.5886363636363636
DW166	1037	0.5892045454545455
DW464	1039	0.5903409090909091
DW427	1039	0.5903409090909091
DW290	1040	0.5909090909090908
DW334	1040	0.5909090909090908
DW121	1041	0.5914772727272728
DW123	1041	0.5914772727272728
DW375	1042	0.5920454545454545
DW153	1042	0.5920454545454545
DW428	1043	0.5926136363636363
DW423	1043	0.5926136363636363
DW409	1043	0.5926136363636363
DW446	1043	0.5926136363636363
DW167	1043	0.5926136363636363
DW462	1044	0.5931818181818183
DW486	1044	0.5931818181818183
DW303	1044	0.5931818181818183
DW425	1045	0.59375
DW027	1045	0.59375
DW439	1046	0.5943181818181817
DW299	1046	0.5943181818181817
DW460	1046	0.5943181818181817
DW432	1047	0.5948863636363637
DW307	1048	0.5954545454545455
DW377	1049	0.5960227272727272
DW434	1049	0.5960227272727272
DW124	1050	0.5965909090909092
DW085	1051	0.5971590909090909
DW312	1051	0.5971590909090909
DW058	1051	0.5971590909090909
DW133	1051	0.5971590909090909
DW065	1052	0.5977272727272727
DW128	1052	0.5977272727272727
DW463	1052	0.5977272727272727
DW380	1053	0.5982954545454545
DW418	1053	0.5982954545454545
DW081	1053	0.5982954545454545
DW096	1054	0.5988636363636364
DW330	1054	0.5988636363636364
DW454	1055	0.5994318181818181
M6711	1055	0.5994318181818181
DW309	1055	0.5994318181818181
DW369	1056	0.6
DW442	1057	0.6005681818181818
DW485	1057	0.6005681818181818
DW318	1057	0.6005681818181818
M6283	1058	0.6011363636363636
M6312	1058	0.6011363636363636
DW131	1058	0.6011363636363636
DW396	1058	0.6011363636363636
M6282	1059	0.6017045454545454
M6151	1059	0.6017045454545454
M6489	1059	0.6017045454545454
M2300	1059	0.6017045454545454
M6257	1059	0.6017045454545454
TW10_5G	1060	0.6022727272727273
TW10_6G	1060	0.6022727272727273
M6280	1060	0.6022727272727273
DW430	1060	0.6022727272727273
DW450	1060	0.6022727272727273
TW48-5G	1060	0.6022727272727273
DW385	1060	0.6022727272727273
UTMB_10G	1060	0.6022727272727273
DW119	1060	0.6022727272727273
DW489	1061	0.602840909090909
M2341	1061	0.602840909090909
DW088	1061	0.602840909090909
DW079	1061	0.602840909090909
DW295	1062	0.6034090909090909
R32G	1062	0.6034090909090909
M6090	1062	0.6034090909090909
DW292	1062	0.6034090909090909
M6285	1062	0.6034090909090909
M6303	1062	0.6034090909090909
DW413	1063	0.6039772727272728
DW484	1063	0.6039772727272728
M6284	1063	0.6039772727272728
M6270	1063	0.6039772727272728
DW050	1064	0.6045454545454545
M2282	1064	0.6045454545454545
DW441	1064	0.6045454545454545
DW481	1065	0.6051136363636364
DW488	1065	0.6051136363636364
M6286	1065	0.6051136363636364
M6604	1066	0.6056818181818182
M30	1066	0.6056818181818182
M6593	1066	0.6056818181818182
DW033	1066	0.6056818181818182
M2321	1067	0.60625
M6475	1067	0.60625
M6327	1067	0.60625
DW482	1068	0.6068181818181818
M6320	1068	0.6068181818181818
M6328	1068	0.6068181818181818
DW140	1068	0.6068181818181818
DW449	1069	0.6073863636363637
DW451	1070	0.6079545454545454
DW372	1070	0.6079545454545454
DW039	1070	0.6079545454545454
DW100	1070	0.6079545454545454
DW098	1070	0.6079545454545454
DW360	1070	0.6079545454545454
DW366	1070	0.6079545454545454
DW172	1071	0.6085227272727273
DW281	1071	0.6085227272727273
DW397	1071	0.6085227272727273
M6713	1072	0.6090909090909091
DW356	1072	0.6090909090909091
DW347	1072	0.6090909090909091
DW270	1074	0.6102272727272727
DW452	1074	0.6102272727272727
DW108	1074	0.6102272727272727
DW112	1075	0.6107954545454546
DW376	1075	0.6107954545454546
DW339	1076	0.6113636363636363
DW170	1077	0.6119318181818182
DW285	1078	0.6125
DW354	1079	0.6130681818181818
DW279	1080	0.6136363636363636
DW355	1081	0.6142045454545455
DW379	1083	0.6153409090909091
DW326	1083	0.6153409090909091
DW321	1084	0.615909090909091
DW308	1084	0.615909090909091
DW320	1086	0.6170454545454546
DW277	1087	0.6176136363636364
DW296	1089	0.61875
DW332	1090	0.6193181818181819
DW410	1091	0.6198863636363636
DW329	1092	0.6204545454545455
DW272	1093	0.6210227272727273
DW316	1097	0.6232954545454545
DW331	1098	0.6238636363636363
DW268	1099	0.6244318181818183
DW097	1102	0.6261363636363637
DW336	1103	0.6267045454545455
DW420	1112	0.6318181818181818
DW345	1113	0.6323863636363636
DW361	1116	0.634090909090909
DW395	1118	0.6352272727272728
DW304	1119	0.6357954545454545
DW346	1123	0.6380681818181818
DW301	1123	0.6380681818181818
DW359	1126	0.6397727272727273
DW055	1129	0.6414772727272727
